0,dividend
2024-07-10,1.278
2024-07-09,1.291
2024-07-08,1.292
2024-07-05,1.293
2024-07-03,1.3
2024-07-02,1.307
2024-07-01,1.315
2024-06-28,1.311
2024-06-27,1.306
2024-06-26,1.307
2024-06-25,1.309
2024-06-24,1.314
2024-06-21,1.31
2024-06-20,1.308
2024-06-18,1.305
2024-06-17,1.308
2024-06-14,1.318
2024-06-13,1.318
2024-06-12,1.321
2024-06-11,1.332
2024-06-10,1.335
2024-06-07,1.339
2024-06-06,1.337
2024-06-05,1.337
2024-06-04,1.353
2024-06-03,1.355
2024-05-31,1.357
2024-05-30,1.36
2024-05-29,1.352
2024-05-28,1.342
2024-05-24,1.342
2024-05-23,1.352
2024-05-22,1.342
2024-05-21,1.338
2024-05-20,1.342
2024-05-17,1.343
2024-05-16,1.344
2024-05-15,1.342
2024-05-14,1.357
2024-05-13,1.364
2024-05-10,1.363
2024-05-09,1.366
2024-05-08,1.373
2024-05-07,1.373
2024-05-06,1.375
2024-05-03,1.389
2024-05-02,1.406
2024-05-01,1.419
2024-04-30,1.414
2024-04-29,1.384
2024-04-26,1.389
2024-04-25,1.403
2024-04-24,1.396
2024-04-23,1.397
2024-04-22,1.413
2024-04-19,1.426
2024-04-18,1.413
2024-04-17,1.41
2024-04-16,1.402
2024-04-15,1.399
2024-04-12,1.382
2024-04-11,1.362
2024-04-10,1.372
2024-04-09,1.359
2024-04-08,1.361
2024-04-05,1.361
2024-04-04,1.376
2024-04-03,1.359
2024-04-02,1.36
2024-04-01,1.351
2024-03-28,1.345
2024-03-27,1.346
2024-03-26,1.358
2024-03-25,1.354
2024-03-22,1.35
2024-03-21,1.348
2024-03-20,1.352
2024-03-19,1.364
2024-03-18,1.372
2024-03-15,1.381
2024-03-14,1.372
2024-03-13,1.368
2024-03-12,1.365
2024-03-11,1.38
2024-03-08,1.379
2024-03-07,1.37
2024-03-06,1.384
2024-03-05,1.391
2024-03-04,1.377
2024-03-01,1.375
2024-02-29,1.386
2024-02-28,1.39
2024-02-27,1.388
2024-02-26,1.39
2024-02-23,1.385
2024-02-22,1.385
2024-02-21,1.415
2024-02-20,1.417
2024-02-16,1.408
2024-02-15,1.401
2024-02-14,1.409
2024-02-13,1.423
2024-02-12,1.403
2024-02-09,1.402
2024-02-08,1.41
2024-02-07,1.411
2024-02-06,1.423
2024-02-05,1.426
2024-02-02,1.421
2024-02-01,1.437
2024-01-31,1.455
2024-01-30,1.427
2024-01-29,1.427
2024-01-26,1.437
2024-01-25,1.436
2024-01-24,1.444
2024-01-23,1.445
2024-01-22,1.449
2024-01-19,1.453
2024-01-18,1.47
2024-01-17,1.483
2024-01-16,1.475
2024-01-12,1.47
2024-01-11,1.471
2024-01-10,1.47
2024-01-09,1.478
2024-01-08,1.476
2024-01-05,1.497
2024-01-04,1.499
2024-01-03,1.494
2024-01-02,1.482
2023-12-29,1.467
2023-12-28,1.463
2023-12-27,1.463
2023-12-26,1.465
2023-12-22,1.472
2023-12-21,1.474
2023-12-20,1.489
2023-12-19,1.467
2023-12-18,1.476
2023-12-15,1.483
2023-12-14,1.483
2023-12-13,1.486
2023-12-12,1.507
2023-12-11,1.514
2023-12-08,1.52
2023-12-07,1.526
2023-12-06,1.538
2023-12-05,1.532
2023-12-04,1.531
2023-12-01,1.523
2023-11-30,1.532
2023-11-29,1.53
2023-11-28,1.529
2023-11-27,1.53
2023-11-24,1.527
2023-11-22,1.528
2023-11-21,1.535
2023-11-20,1.531
2023-11-17,1.543
2023-11-16,1.545
2023-11-15,1.547
2023-11-14,1.549
2023-11-13,1.579
2023-11-10,1.577
2023-11-09,1.602
2023-11-08,1.589
2023-11-07,1.591
2023-11-06,1.595
2023-11-03,1.598
2023-11-02,1.613
2023-11-01,1.643
2023-10-31,1.661
2023-10-30,1.663
2023-10-27,1.683
2023-10-26,1.675
2023-10-25,1.655
2023-10-24,1.632
2023-10-23,1.644
2023-10-20,1.641
2023-10-19,1.62
2023-10-18,1.606
2023-10-17,1.585
2023-10-16,1.585
2023-10-13,1.602
2023-10-12,1.593
2023-10-11,1.584
2023-10-10,1.59
2023-10-09,1.599
2023-10-06,1.609
2023-10-05,1.628
2023-10-04,1.626
2023-10-03,1.639
2023-10-02,1.616
2023-09-29,1.612
2023-09-28,1.607
2023-09-27,1.617
2023-09-26,1.617
2023-09-25,1.593
2023-09-22,1.6
2023-09-21,1.596
2023-09-20,1.57
2023-09-19,1.555
2023-09-18,1.552
2023-09-15,1.553
2023-09-14,1.534
2023-09-13,1.547
2023-09-12,1.549
2023-09-11,1.54
2023-09-08,1.55
2023-09-07,1.553
2023-09-06,1.548
2023-09-05,1.537
2023-09-01,1.53
2023-08-31,1.533
2023-08-30,1.526
2023-08-29,1.532
2023-08-28,1.554
2023-08-25,1.564
2023-08-24,1.575
2023-08-23,1.553
2023-08-22,1.571
2023-08-21,1.566
2023-08-18,1.577
2023-08-17,1.577
2023-08-16,1.565
2023-08-15,1.553
2023-08-14,1.535
2023-08-11,1.544
2023-08-10,1.542
2023-08-09,1.542
2023-08-08,1.532
2023-08-07,1.525
2023-08-04,1.539
2023-08-03,1.531
2023-08-02,1.527
2023-08-01,1.506
2023-07-31,1.502
2023-07-28,1.499
2023-07-27,1.514
2023-07-26,1.505
2023-07-25,1.504
2023-07-24,1.509
2023-07-21,1.515
2023-07-20,1.515
2023-07-19,1.505
2023-07-18,1.508
2023-07-17,1.519
2023-07-14,1.525
2023-07-13,1.523
2023-07-12,1.536
2023-07-11,1.548
2023-07-10,1.558
2023-07-07,1.562
2023-07-06,1.557
2023-07-05,1.545
2023-07-03,1.542
2023-06-30,1.544
2023-06-29,1.559
2023-06-28,1.566
2023-06-27,1.565
2023-06-26,1.583
2023-06-23,1.576
2023-06-22,1.564
2023-06-21,1.57
2023-06-20,1.562
2023-06-19,1.554
2023-06-18,1.554
2023-06-16,1.554
2023-06-15,1.549
2023-06-14,1.567
2023-06-13,1.569
2023-06-12,1.58
2023-06-11,1.594
2023-06-09,1.594
2023-06-08,1.596
2023-06-07,1.606
2023-06-06,1.6
2023-06-05,1.604
2023-06-04,1.601
2023-06-02,1.601
2023-06-01,1.624
2023-05-31,1.64
2023-05-30,1.626
2023-05-29,1.626
2023-05-28,1.626
2023-05-26,1.626
2023-05-25,1.647
2023-05-24,1.662
2023-05-23,1.649
2023-05-22,1.631
2023-05-21,1.631
2023-05-19,1.631
2023-05-18,1.629
2023-05-17,1.644
2023-05-16,1.664
2023-05-15,1.653
2023-05-14,1.658
2023-05-12,1.658
2023-05-11,1.655
2023-05-10,1.653
2023-05-09,1.66
2023-05-08,1.652
2023-05-05,1.653
2023-05-04,1.684
2023-05-03,1.672
2023-05-02,1.66
2023-05-01,1.641
2023-04-28,1.636
2023-04-27,1.649
2023-04-26,1.682
2023-04-25,1.675
2023-04-24,1.649
2023-04-21,1.65
2023-04-20,1.652
2023-04-19,1.642
2023-04-18,1.642
2023-04-17,1.643
2023-04-14,1.649
2023-04-13,1.645
2023-04-12,1.667
2023-04-11,1.66
2023-04-10,1.66
2023-04-06,1.662
2023-04-05,1.668
2023-04-04,1.663
2023-04-03,1.654
2023-03-31,1.66
2023-03-30,1.673
2023-03-29,1.683
2023-03-28,1.707
2023-03-27,1.704
2023-03-24,1.707
2023-03-23,1.717
2023-03-22,1.722
2023-03-21,1.693
2023-03-20,1.715
2023-03-17,1.731
2023-03-16,1.711
2023-03-15,1.742
2023-03-14,1.729
2023-03-13,1.758
2023-03-10,1.755
2023-03-09,1.73
2023-03-08,1.698
2023-03-07,1.7
2023-03-06,1.674
2023-03-03,1.675
2023-03-02,1.702
2023-03-01,1.715
2023-02-28,1.707
2023-02-27,1.691
2023-02-24,1.696
2023-02-23,1.679
2023-02-22,1.688
2023-02-21,1.685
2023-02-17,1.651
2023-02-16,1.647
2023-02-15,1.624
2023-02-14,1.628
2023-02-13,1.628
2023-02-10,1.647
2023-02-09,1.65
2023-02-08,1.636
2023-02-07,1.617
2023-02-06,1.638
2023-02-03,1.628
2023-02-02,1.611
2023-02-01,1.635
2023-01-31,1.652
2023-01-30,1.666
2023-01-27,1.644
2023-01-26,1.648
2023-01-25,1.666
2023-01-24,1.666
2023-01-23,1.665
2023-01-20,1.685
2023-01-19,1.716
2023-01-18,1.703
2023-01-17,1.677
2023-01-13,1.673
2023-01-12,1.68
2023-01-11,1.686
2023-01-10,1.707
2023-01-09,1.719
2023-01-06,1.718
2023-01-05,1.757
2023-01-04,1.737
2023-01-03,1.75
2022-12-30,1.729
2022-12-29,1.725
2022-12-28,1.755
2022-12-27,1.734
2022-12-23,1.727
2022-12-22,1.737
2022-12-21,1.712
2022-12-20,1.737
2022-12-19,1.739
2022-12-16,1.723
2022-12-15,1.704
2022-12-14,1.662
2022-12-13,1.652
2022-12-12,1.664
2022-12-09,1.687
2022-12-08,1.675
2022-12-07,1.688
2022-12-06,1.684
2022-12-05,1.66
2022-12-02,1.631
2022-12-01,1.629
2022-11-30,1.627
2022-11-29,1.664
2022-11-28,1.661
2022-11-25,1.636
2022-11-23,1.635
2022-11-22,1.645
2022-11-21,1.667
2022-11-18,1.661
2022-11-17,1.669
2022-11-16,1.663
2022-11-15,1.65
2022-11-14,1.664
2022-11-11,1.649
2022-11-10,1.664
2022-11-09,1.757
2022-11-08,1.72
2022-11-07,1.73
2022-11-04,1.746
2022-11-03,1.77
2022-11-02,1.751
2022-11-01,1.708
2022-10-31,1.701
2022-10-28,1.674
2022-10-27,1.716
2022-10-26,1.705
2022-10-25,1.693
2022-10-24,1.72
2022-10-21,1.741
2022-10-20,1.782
2022-10-19,1.768
2022-10-18,1.756
2022-10-17,1.776
2022-10-14,1.823
2022-10-13,1.78
2022-10-12,1.826
2022-10-11,1.82
2022-10-10,1.808
2022-10-07,1.795
2022-10-06,1.744
2022-10-05,1.727
2022-10-04,1.723
2022-10-03,1.776
2022-09-30,1.822
2022-09-29,1.782
2022-09-28,1.745
